"TokenBlocked";"WalletStatus";"CardStatus";"IsCurrentWallet";"121Status"
FALSE;"ACTIVE";"CARD_OK";FALSE;"Blocked "
FALSE;"ACTIVE";"CARD_BLOCKED";FALSE;"Blocked "
FALSE;"ACTIVE";"SUSPECTED_FRAUD";FALSE;"Suspected Fraud"
FALSE;"ACTIVE";"CARD_CLOSED_DUE_TO_FRAUD";FALSE;"Closed"
FALSE;"ACTIVE";"CARD_NO_RENEWAL";FALSE;"Blocked "
FALSE;"ACTIVE";"CARD_LOST";FALSE;"Lost"
FALSE;"ACTIVE";"CARD_STOLEN";FALSE;"Stolen"
FALSE;"ACTIVE";"CARD_CLOSED";FALSE;"Closed"
FALSE;"ACTIVE";"CARD_EXPIRED";FALSE;"Expired"
FALSE;"INACTIVE";"CARD_OK";FALSE;"Issued"
FALSE;"INACTIVE";"CARD_BLOCKED";FALSE;"Blocked "
FALSE;"INACTIVE";"SUSPECTED_FRAUD";FALSE;"Suspected Fraud"
FALSE;"INACTIVE";"CARD_CLOSED_DUE_TO_FRAUD";FALSE;"Closed"
FALSE;"INACTIVE";"CARD_NO_RENEWAL";FALSE;"Issued"
FALSE;"INACTIVE";"CARD_LOST";FALSE;"Lost"
FALSE;"INACTIVE";"CARD_STOLEN";FALSE;"Stolen"
FALSE;"INACTIVE";"CARD_CLOSED";FALSE;"Closed"
FALSE;"INACTIVE";"CARD_EXPIRED";FALSE;"Expired"
FALSE;"SUBSTITUTED";"CARD_OK";FALSE;"Blocked "
FALSE;"SUBSTITUTED";"CARD_BLOCKED";FALSE;"Blocked "
FALSE;"SUBSTITUTED";"SUSPECTED_FRAUD";FALSE;"Blocked "
FALSE;"SUBSTITUTED";"CARD_CLOSED_DUE_TO_FRAUD";FALSE;"Closed"
FALSE;"SUBSTITUTED";"CARD_NO_RENEWAL";FALSE;"Blocked "
FALSE;"SUBSTITUTED";"CARD_LOST";FALSE;"Lost"
FALSE;"SUBSTITUTED";"CARD_STOLEN";FALSE;"Stolen"
FALSE;"SUBSTITUTED";"CARD_CLOSED";FALSE;"Closed"
FALSE;"SUBSTITUTED";"CARD_EXPIRED";FALSE;"Blocked "
FALSE;"DISABLED";"CARD_OK";FALSE;"Blocked "
FALSE;"DISABLED";"CARD_BLOCKED";FALSE;"Blocked "
FALSE;"DISABLED";"SUSPECTED_FRAUD";FALSE;"Blocked "
FALSE;"DISABLED";"CARD_CLOSED_DUE_TO_FRAUD";FALSE;"Closed"
FALSE;"DISABLED";"CARD_NO_RENEWAL";FALSE;"Blocked "
FALSE;"DISABLED";"CARD_LOST";FALSE;"Lost"
FALSE;"DISABLED";"CARD_STOLEN";FALSE;"Stolen"
FALSE;"DISABLED";"CARD_CLOSED";FALSE;"Closed"
FALSE;"DISABLED";"CARD_EXPIRED";FALSE;"Blocked "
TRUE;"ACTIVE";"CARD_OK";FALSE;"Paused"
TRUE;"ACTIVE";"CARD_BLOCKED";FALSE;"Blocked "
TRUE;"ACTIVE";"SUSPECTED_FRAUD";FALSE;"Suspected Fraud"
TRUE;"ACTIVE";"CARD_CLOSED_DUE_TO_FRAUD";FALSE;"Closed"
TRUE;"ACTIVE";"CARD_NO_RENEWAL";FALSE;"Paused"
TRUE;"ACTIVE";"CARD_LOST";FALSE;"Lost"
TRUE;"ACTIVE";"CARD_STOLEN";FALSE;"Stolen"
TRUE;"ACTIVE";"CARD_CLOSED";FALSE;"Closed"
TRUE;"ACTIVE";"CARD_EXPIRED";FALSE;"Expired"
TRUE;"INACTIVE";"CARD_OK";FALSE;"Blocked "
TRUE;"INACTIVE";"CARD_BLOCKED";FALSE;"Blocked "
TRUE;"INACTIVE";"SUSPECTED_FRAUD";FALSE;"Suspected Fraud"
TRUE;"INACTIVE";"CARD_CLOSED_DUE_TO_FRAUD";FALSE;"Closed"
TRUE;"INACTIVE";"CARD_NO_RENEWAL";FALSE;"Blocked "
